Modelo,Acurácia,Precisão,Recall,F1-Score
KNN (GridSearch),0.8603351955307262,0.8,0.5581395348837209,0.6575342465753424
Decision Tree (depth=5),0.88268156424581,0.75,0.7674418604651163,0.7586206896551724
